Constituency ID,Constituency_Name,Winning_Margin,Candidate - Dravida Munnetra Kazhagam,Candidate - All India Anna Dravida Munnetra Kazhagam,Candidate - Naam Tamilar Katchi,Candidate - Indian National Congress,Candidate - Pattali Makkal Katchi,Candidate - Bharatiya Janata Party,Candidate - Makkal Needhi Maiam,Candidate - Amma Makkal Munnettra Kazagam,Candidate - Independent,Candidate - Communist Party of India,Candidate - Viduthalai Chiruthaigal Katchi,Candidate - Communist Party of India  (Marxist),Candidate - None of the Above,Candidate - Indian Union Muslim League,Candidate - Desiya Murpokku Dravida Kazhagam,Candidate - Bahujan Samaj Party,Candidate - Puthiya Tamilagam,Candidate - Indiya Jananayaka Katchi,Candidate - SOCIAL DEMOCRATIC PARTY OF INDIA,Candidate - Tamil Nadu Ilangyar Katchi,Candidate - My India Party,Candidate - Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Candidate - Anaithu Makkal Puratchi Katchi,Candidate - Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,Candidate - All India Samathuva Makhal Katchi,Candidate - New Generation People’s Party,Candidate - Communist Party of India  (Marxist-Leninist)  (Liberation),Candidate - Anna Dravidar Kazhagam,Candidate - Desiya Makkal Sakthi Katchi,Candidate - Naam Indiar Party,Candidate - Dhesiya Makkal Kazhagam,Candidate - Nationalist Congress Party,Candidate - Anaithu Makkal Arasiyal Katchi,Candidate - Ganasangam Party of India,Candidate - Anna MGR Dravida Makkal Kalgam,Candidate - All India Majlis-E-Ittehadul Muslimeen,Candidate - Ahimsa Socialist Party,Candidate - Tamilaga Makkal Thannurimai Katchi,Candidate - Republican Party of India (Athawale),Candidate - All India Jananayaka Makkal Kazhagam,Candidate - Tipu Sultan Party,Candidate - United States of India Party,Candidate - Samaniya Makkal Nala Katchi,Candidate - Akhil Bharat Hindu Mahasabha,Candidate - Naadaalum Makkal Katchi,Candidate - All India Uzhavargal Uzhaippalargal Katchi,Candidate - Bahujan Dravida Party,Candidate - Namadhu Makkal Katchi,Candidate - Makkal Munnetra Peravai,Candidate - Desiya Sirupanmayinar Makkal Iyakkam,Candidate - Shiv Sena,Candidate - Ambedkarite Party of India,Candidate - Janata Dal  (Secular),Candidate - National People's Party,Candidate - National Democratic Party of South India,Candidate - Lok Jan Shakti Party,Candidate - All India Trinamool Congress,Candidate - India Dravida Makkal Munnetra Katchi,Candidate - Kongu  Desa  Marumalarchi  Makkal  Katchi,Candidate - SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Candidate - Tamizhaga Murpokku Makkal Katchi,Candidate - All India MGR Makkal Munnetra Kazhagam,Candidate - Aanaithinthiya Jananayaka Pathukappu Kazhagam,Candidate - Manitha Urimaigal Kalaagam,Candidate - Makkal Nala Kazhagam,Candidate - MGR Makkal Katchi,Candidate - Anaithu Ulaga Tamilargal Munnetra Kalagam,Candidate - All Pensioner’s Party,Candidate - Rashtriya Janata Dal,Candidate - Namathu Kongu Munnetra Kalagam,Candidate - South India Forward Bloc,Candidate - Akila India Vallalar Peravai,Candidate - Nam India Naam Indiyar Katchi,Candidate - Rashtriya Samaj Paksha,Candidate - All  India  Pattali  Munnetra Katchi,Candidate - People's Party of India(secular),"Candidate - Makkal Sananayaga Kudiyarasu Katchi,",Candidate - Samata Party,Candidate - All India Youth Development Party,Candidate - Ezhuchi Tamilargal Munnetra Kazhagam,Candidate - Valamaana  Tamizhagam   Katchi,Candidate - Makkalatchi Katchi,Candidate - Ulaga Makkal Katchi,Candidate - Anaithu Makkal Munnetra Kazhagam,Candidate - Desa Makkal Munnetrak Kazhgam,Candidate - Dravida Murpokku Makkal Katchi,Candidate - Ambedkar Political Party,Candidate - Tamil Telugu National Party,Candidate - Akhila India Jananayaka Makkal Katchi (Dr. Isaac),Candidate - Samajwadi Party,Candidate - Tamilnadu Mahatma Gandhi Makkal Katchi,Candidate - Anna MGR Dravida Munnetra Kazhagam,Candidate - Ilantamilar Munnani Kazhagam,Candidate - Tamilnadu Makkal Nalvazhvu Periyakkam,Candidate - Thamizhaga Munnetra Congress,Candidate - Jebamani Janata,Candidate - Anaithindia Samudaya Munnetra Kazhagam,Candidate - MAKKAL SAKTHI KATCHI,Candidate - Indhia Kudiarasu Katchi,Candidate - Vidial Valarchi Perani,Candidate - Makkal Nalvaazhvuk Katchi,"Candidate - Makkal Thilagam Munnetra Kazhagam,",Candidate - Universal Brotherhood Movement,Candidate - Rashtriya Ulama Council,Candidate - Hindustan Janta Party,Candidate - Kamarajar Deseeya Congress,Candidate - Bhartiya Manavadhikaar Federal Party,Candidate - Republican Party of India  (Sivaraj),Candidate - Mahathma Makkal Munnetra Kazhakam
148,Kunnam,6329,"SIVASANKAR, S.S.","RAMACHANDRAN, R.T.","ARUL, P.",,,,"SATHIK BASHA, A.S.","KAARTHIKEYAN, S.","SELVARAJU, R.",,,,NOTA,,,"PANDIYAN, S.",,,,,,,,,,"RAVANAN, M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Ariyalur,3234,CHINNAPPA K,RAJENDRAN S,SUGUNA KUMAR,,,,,DURAI.MANIVEL,RAMESH K,,,,NOTA,,,SAVARIANANDHAM V,,JAWAHAR P,,,,,,,,THANGA. SHANMUGA SUNDARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Jayankondam,5452,KANNAN KA SO KA,,MAHALINGAM NEELA,,BALU K,,,SIVA J K,KESAVARAJAN V K,,,,NOTA,,,NEELAMEGAM K,,SORNALATHA @ LATHA G,,,,,,,,,,NATARAJAN A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Tittakudi,21563,"GANESAN,  C.V.",,"KAMATCHI,  N.",,,"PERIYASAMY,  D.","PRABAKARAN,  R.",,"NATARAJAN,  M.",,,,NOTA,,"UMANATH,  R.","RAVICHANDRAN,  P.",,,,,,,,,,,,,"ARULDOSS,  E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Vriddhachalam,862,,,N. Amutha,Radhakrishnan,Karthikeyan. J,,,,Stalin,,,,NOTA,,Premalatha Vijayakant,A. Ayyasamy,,R. Parthasarathi,,R. Kesavaperumal,,,Sathiyanathan,,,Sivasankar,,,,,,,,,,,,,,,,,,,,,,,,G. Pichamuthu,,,,,,,,,,,,,,,,,,,B. Arasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Neyveli,977,SABA.RAJENDRAN,,RAMESH.K,,JAGAN.K,,,BAKTHARATCHAGAN.R,RAJENDRAN .B,,,,NOTA,,,KANAGARAJI.C,,ILANGOVAN.R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Panruti,4697,VELMURUGAN.T,RAJENDRAN.R,SUBHASHINI.R,,,,JAYLANI,,VELMURUGAN.K,,,,NOTA,,SIVAKOZHUNDU.P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Cuddalore,5151,G.IYAPPAN,M.C.SAMPATH,JALADEEPAN.V,,,,K.ANANDRAJ,,J.JACOB,,,,NOTA,,A.GNANAPANDITHAN,R.VALLAL KUMAR,,,,S.PUSHBARAJ,,,,A.Mohamed Usman,,,,,S.V.RAJARAJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Kurinjipadi,17527,M.R.K.PANNEERSELVAM,SELVI RAMAJAYAM,S.SUMATHI,,,,,A.VASANTHAKUMAR,R.RAJESH,,,,NOTA,,,T.VELAYUDHAM,,,,,,,,,,,,R.MUTHUKRISHNAN,,,,,,,,,,,,,,,,,,,,,,,,,K.CHANDRAMOULI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Bhuvanagiri,8259,Saravanan. Durai.K,Arunmozhithevan. A,Rathinavel. R.,,,,,Balamurugan. K.S.K,Ranjith. R,,,,NOTA,,,Ezhilvendhan. R,,Revathi. R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Chidambaram,16937,,K.A. PANDIAN,NATARAJAN KRISHNAMOORTHY,,,,G. DEVASAGAYAM,M. NANTHINIDEVI,S. BALAMURUGAN,,,,NOTA,S. ABDUL RAHMAN,,D. CHANDRA PRABU,,,,,,,K. UDAYA SELVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. RAGHUNATHAN,,,,,,,,,,,,,,,,
159,Kattumannarkoil,10565,,N. MURUGUMARAN,P. NIVEDHA,,,,THANGA VIKRAM,S. NARAYANAMOORTHY,A. ANANDAN,,SINTHANAI SELVAN,,NOTA,,,THANGA UDHAYAKUMAR,,,,,,,,M. THIRUNAVUKARASU,,,,,,,,,,,,,,,,M.G. KALYANASUNDARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sirkazhi,12148,PANNEERSELVAM,P.V.BHARATHI,Kavitha,,,,PRABU,BALU,BARATHI,,,,NOTA,,,SRITHAR,,,,,,,,,,,,,,,,,Kamban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Mayiladuthurai,2742,,,Kasiraman.K,Rajakumar.S,Palanisamy.A,,Ravichandran.N,Anbarasan Komal R K,Rajendran.M,,,,NOTA,,,Shamsudeen.N,,,,Rajkumar.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Poompuhar,3299,Nivedha M. Murugan,S.Pavunraj,P. Kaliyammal,,,,M.H.Meharajdeen,S.Senthamizhan,S.Pandiyarajan,,,,NOTA,,,T. Ilanchezhian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Nagapattinam,7238,,Thanka.kathiravan,S.Augustine Arputharaj,,,,Syed Anas Mohideen Sahip,C.Manjula,V. Manikandan,,J. Mohamed Shanavas,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayilarasi,,,,,,T. Singaravadivelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J.V. Durai,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Kilvelur,16985,,,PONELAVAZHAKI  S,,VADIVEL RAVANAN  S,,SIDHU G,NEETHIMOHAN M,KALAISELVAN G,,,NAGAIMAALI V P,NOTA,,,TAMILARASAN U,MUTHALAGAN S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Vedaranyam,12329,S.K.VETHARATHINAM,O.S.MANIAN,K.RAJENDRAN,,,,MOHAMED ALI,P.S.ARUMUGAM,P.V.THEENATHAYALAN,,,,NOTA,,,R.PANNEERSELVAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.T.SUNDARAVADIVELAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Thiruthuraipoondi,30068,,SURESH KUMAR C,AARTHI A,,,,,RAJANIKANTH S,PARAMASIVAM K,MARIMUTHU K,,,NOTA,,,,,,,,,,,,PARIVENTHAN D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Mannargudi,37393,RAJAA T R B,RAJAMANICKAM  SIVA,ARAVINDAN RAMA,,,,ANBANANDAM S,KAMARAJ S,KUMARESAN T,,,,NOTA,,,,SATHISKUMAR S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Thiruvarur,51174,KALAIVANAN  POONDI  K.,PANNERSELVAM A.N.R.,VINOTHINI R.,,,,KABILARASAN  P.,,PANNEERSELVAM J.,,,,NOTA,,,GOMATHI A.,THIYAGARAJAN  M.,,NASEEMA BANU M.A.,THIYAGASUNDARAM N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Nannilam,4424,JOTHIRAMAN  S,KAMARAJ R,FATHIMA FARHANA  S,,,,,RAMACHANDRAN   N,NATARAJAN  C,,,,NOTA,,,RAVICHANDRAN  R,,GANESAN  D,,,,,,,,,,MURUGAVEL  M,PANASAIARAGAN K N,,,,NITHIYANANTHAM  S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Thiruvidaimarudur,10680,"CHEZHIAAN,  GOVI.","UNION VEERAMANI, S.","DIVYA BHARATHI, M.",,,,,"KUDANTHAI ARASAN, J.","MARIMUTHU, G.",,,,NOTA,,,"PURATCHI MANI, M.",,"MADHANKUMAR, R.",,,,,"SURESH, R.",,,,"KANNAIYAN, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Kumbakonam,21383,"ANBALAGAN, G.","SRITHAR VANDAYAR, G.M.","ANANDH, M.",,,,"GOPALAKRISHNAN, G.","BALAMURUGAN, S.","GURUMOORTHI, D.",,,,NOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Papanasam,16273,"Dr.JAWAHIRULLAH, M.H.","GOPINATHAN, K.","KRISHNAKUMAR, N.",,,,"SHANTHA, K.","RENGASAMY, M.","GOPINATHAN, R.",,,,NOTA,,,,,,,,,,"MUTHUKUMAR, R.",,,,,,,,,,,,,,,,,"MEHRAJ BANU, N.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Thiruvaiyaru,53650,DURAI.CHANDRASEKARAN,,"SENTHILNATHAN, D.",,,"VENKATESAN, S.",,"KARTHIKEYAN, V.","THIRUMARAN, P.S.",,,,NOTA,,,ASWIN,"UTHIRAPATHI, G.",,,,,,,"VIJAYAKUMAR, S.",,,,,,,,,"BACKIYARAJ, V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SIVARAMAN, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Thanjavur,47149,"NEELAMEGAM, T.K.G.","ARIVUDAINAMBI, V.","SUBADEVI, R.",,,,"SUNDARAMOHAN, G.",,"VASUKI, N.",,,,NOTA,,"DR.RAMANATHAN, P.",,,,,,,,,,,,,,,,,"KARIKALA CHOLAN, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"XAVIER, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Orathanadu,28835,"RAMCHANDRAN, M.","VAITHILINGAM, R.","KANDHASAMY, M.",,,,"RENGASAMY, G.","SEKAR, M.","MOOKKAIYAN, V.",,,,NOTA,,,"STALIN, R.",,,,,,,"PRABAKARAN, U.",,,,,,,,,,,,,,,,,,,"THANRAJ, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Pattukkottai,25269,"ANNADURAI, K.","RENGARAJAN, N.R.",KEERTHIKA ANBU,,,,"SADASIVAM, B.","SELVAM, S.D.S.","BALAKRISHNAN, V.",,,,NOTA,,,,,,,,,,"SUNDARRAJ, M.",,,,,"MEIKKAPPAN, T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Peravurani,23503,"ASHOKKUMAR, N.","THIRUGNANASAMBANDAM, S.V.","DELIPAN, K.",,,,,,"UTHAYAKUMAR, U.",,,,NOTA,,"SIVAKUMAR, M.","DURAIRAJ, G.",,"PACHAMUTHU, P.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Gandarvakkottai,12721,,S.Jayabharathi,M.Ramila,,,,KRM.Adhidravidar,P.Lenin,V.Rethinam,,,M.Chinnadurai,NOTA,,,,,,,,,,,,,,P.Asaithambi,,,,,,S.Malarvizhi,,,,,,,,,,,,,,,M.Thanaraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Viralimalai,23598,PALANIAPPAN,VIJAYA BASKER C,AZHAGU MEENA P,,,,SARAVANAN R,KARTHI PRABHAKARAN O,DHANALAKSHMI.M,,,,NOTA,,,ALAGURAJA.V,ARUMUGAM P,,,,SENTHILKUMAR P,,,,,,,VIJAY A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Pudukkottai,13001,V . MUTHURAJA,KARTHIK THONDAIMAN,SASIKUMAR,,,,S . MOORTHY,,DURAI GUNA,,,,NOTA,,M . SUBRAMANIAN,VENGADESHWARAN,,,,,KUMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,M. SARAVANA DEVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Thirumayam,1382,S.REGUPATHY,P.K.VAIRAMUTHU,U.SIVARAMAN,,,,R.THIRUMENI,S.MUNIARAJU,K.SELVAKUMAR,,,,NOTA,,,,R.SIVAKUMAR,,,,S. GANDIPAN,,,,,,,S.PURACHIBALAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Alangudi,25847,SIVA.V.MEYYANATHAN,DHARMA THANGAVEL,C.THIRUCHELVAM,,,,N.VAIRAVAN,D.VIDANGAR,V.KANNADASAN,,,,NOTA,,,M.CHINNADURAI,,,,,P.BALAMURUGAN,,C.JAYA,,,,G.MANIMEGALAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Aranthangi,30893,,RAJANAYAGAM M,HUMAYUN KABIR M I,RAMACHANDRAN T,,,SHAIK MOHAMED B,SIVASHANMUGAM K,VELRAJ. K P,,,,NOTA,,,JEEVA A,AMALADOSS SANDHIYAGU,,,,KUMARAPPAN B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAKTHIVEL K,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAMALINGASWAMI ADIHITHAN. PPC,,,,,,,,,,,,,,,,,,,,
184,Karaikudi,21589,,,N.Durai Manickam,S.Mangudi,,H.Raja,S.Rajkumar,Dherpoki V Pandi,N.Meenal,,,,NOTA,,,N.Baluswamy,B.Vanitha,,,,,,,,,,,,,,,,,,Rajkumar.G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Tiruppattur,37374,KR.PERIYAKARUPPAN,MARUDHU ALAGURAJ,KOTTAIKUMAR,,,,,K.K.UMADHEVAN,C.PARAMASIVAM,,,,NOTA,,,,M.SARASWATHI,A.AMALAN SAVARIMUTHU,,,K.VEERAPANDIAN,,S.MURUGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Sivaganga,11253,,PR. Senthilnathan,R. Mallika,,,,Joseph. C,K. Anbarasan,P. Viswanathan,S. Gunasekaran,,,NOTA,,,,,,,,N. Pandimuthu,,Vadivel. C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Manamadurai,14091,Tamilarasi A.,Nagarajan S.,Shanmugapriya M.,,,,Sivasankari P.,Mariappankennady S.,Rajaiah  C.,,,,NOTA,,,,,,,,Rajendran A.,,Chandrasekar M.,,,,,,,,,,,,Muralitharan M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Melur,35162,,PERIYAPULLAN @ SELVAM  P.,KARUPPUSAMY  P.,RAVICHANDRAN  T.,,,KATHIRESAN  K.,SELVARAJ  A.,PANDI  K.,,,,NOTA,,,,,,,,SENTHILRAJ  K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Madurai East,49604,MOORTHY P,GOPALAKRISHNAN R,LATHA J,,,,MUTHUKRISHNAN I,SARAVANAN T,PALANIAMMAL P,,,,NOTA,,,,BALAMURUGAN A,,,,RAJA P,,MUTHU KRISHNAN M,,,,,,,,,,,,,,,,,,MUSTAK MOHAMED.A.K,,,,,,PRABAHARAN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Sholavandan,17045,VENKATESAN A,MANICKAM K,SENGANNAN G,,,,YOGANATHAN S,,MOORTHI M,,,,NOTA,,JEYALAKSHMI M,,INDURANI S,,,,RAJKUMAR K,,,,,,ESWARI T,,,,,,,,,,,,,,,,,,,,SILAMBARASAN P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Madurai North,22916,THALAPATHI G,,ANBARASI S,,,SARAVANAN P,ALAGAR M,JEYAPAL M,NATARAJAN R,,,,NOTA,,,,,,,,,,,,,,,VASANTHAKUMAR S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VOLTAIRE M J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Madurai South,6515,BOOMINATHAN.M,SARAVANAN. S.S,ABBAS.M,,,,ESWARAN.G,RAAJALINGAM.SHA,SARAVANAN.R,,,,NOTA,,,,,,,,SADAM HUSSAIN.K,,,,,BHARATHI KANNAMMA. S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Madurai Central,34176,PALANIVEL THIAGA RAJAN,JOTHI MUTHURAMALINGAM N,PANDIAMMAL J,,,,MANI B,,KREMMER SURESH,,,,NOTA,,,THAVAMANI A,,,SIKKANDAR BATCHA G S,,ESWARI M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAJAKUMAR NAIDU E V S,,,,,,,,,,,,,,,,,,,,,
194,Madurai West,9121,CHINNAMMAL. C,RAJU. K,VETRIKUMARAN. C,,,,MUNIYASAMY. V,,RAMU. N,,,,NOTA,,BALACHANDRAN. P,,,,,NAGAJOTHI. K,,,,,,,,,,,,,,,SULTHAN BADUSHA. J,,,,,,,,,KARTHIKEYAN. R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Thiruparankundram,29489,,"RAJANCHELLAPPA, V.V.","REVATHY, R.",,,,"BHARANIRAJAN, M.","DAVID ANNADURAI, K.","ARUMUGAM, V.",,,PONNUTHAI,NOTA,,,,,,,,"MURUGESAN, A.",,,,,,,,,,,,,,"SAVITHA, R.",,,,,,,,,,,,,"RAJAMANI, V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PALANIKUMAR, M.",,,,,,,,,,,,,,,,,,,,,,
196,Thirumangalam,14087,MANIMARAN M,UDHAYAKUMAR R B,SARAL M,,,,RAMKUMAR M,ATHI NARAYANAN K,VEERANAN S,,,,NOTA,,,,,,,,NIRMAL M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARIKANNAN A,ARUMUGAM K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Usilampatti,7477,KATHIRAVAN P V,AYYAPPAN P,IYNDHUKOVILAN G,,,,,MAHENDRAN I,ARUMUGAM K,,,,NOTA,,,,THIRUSELVAM C,,,,BHARATH V,,,,,,,,,,,,,,,,,,,ARASUMAYAN M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Andipatti,8538,A.MAHARAJAN,A.LOGIRAJAN,JEYAKUMAR,,,,S.GUNASEKARAN,R.JEYAKUMAR,VELMANI,,,,NOTA,,,S.KAMATCHI,,,,,M.KUMARAN,,C.KANIVEL,A.VELUCHAMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BALAMURUGAN,,,,,,,S.GOVINDHARAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Periyakulam,21321,K.S.SARAVANAKUMAAR,M Murugan,Vimala,,,,S.PANDIYARAJAN,Dr.K.Kathirkamu,MADHU BHARATHI,,,,NOTA,,,,,,,,S.Chinnamuthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.Murugesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Bodinayakanur,11021,THANGATAMILSELVAN,O.PANNEERSELVAM,M.PREM CHANDAR,,,,P.GANESH KUMAR,M.MUTHUSAMY,TAMILSELVAN,,,,NOTA,,,,,,,,ARUN KUMAR,,,S.KRISHNAVENI,,,,THENI.T.KARNAN,,,,,,,,,,,,,,,,,,,P.KARUPPIAH,,,,,,,,,,K.I.M HAKKEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
